image_path,question,answer,prediction,correct,meteor,f1,accuracy,bertscore_precision,bertscore_recall,bertscore_f1,bartscore,rouge_l_f1
ba/baf0ce35.jpg,What color are the leaves?,Green,green,True,0.5,1,1,0.964728713035584,0.964728713035584,0.964728713035584,-3.96884346008301,1
16/16e97fb3.jpg,What color is the lock?,Black,black,True,0.5,1,1,0.999658465385437,0.999658465385437,0.999658465385437,-3.81624293327332,1
09/09813ae7.jpg,What color is the sheet?,White,white,True,0.5,1,1,0.998453080654144,0.998453080654144,0.998453080654144,-3.35094952583313,1
7d/7da655a1.jpg,What color is the frame?,Black,black,True,0.5,1,1,0.999658465385437,0.999658465385437,0.999658465385437,-3.81624293327332,1
c7/c7753925.jpg,What shape is the object?,Rectangular,,False,0,0,0,0,0,0,0,0
22/225b2470.jpg,What is the shoe's color?,Green,green,True,0.5,1,1,0.964728713035584,0.964728713035584,0.964728713035584,-3.96884346008301,1
28/28598e58.jpg,What color are the towels?,White,White,True,0.5,1,1,1.00000011920929,1.00000011920929,1.00000011920929,-1.75799787044525,1
41/416c1529.jpg,What color is the background?,Black,,False,0,0,0,0,0,0,0,0
77/776fc823.jpg,What is the shoe's material?,Canvas,canvas,True,0.5,1,1,0.921757280826569,0.804216265678406,0.858984351158142,-3.60434675216675,1
7f/7f211ae1.jpg,How many eyelets visible?,Five,none,False,0,0,0,0.999378621578217,0.999378621578217,0.999378621578217,-7.17627191543579,0
07/071e916a.jpg,What shape is the cushion?,Square,square,True,0.5,1,1,0.999366044998169,0.999366044998169,0.999366044998169,-5.15996885299683,1
b3/b3816af7.jpg,Is sky visible?,Yes,Yes,True,0.5,1,1,0.99999988079071,0.99999988079071,0.99999988079071,-1.25064194202423,1
39/39aa2ac8.jpg,What color is predominant?,Gray,black,False,0,0,0,0.999347805976868,0.999347805976868,0.999347805976868,-6.73167276382446,0
01/018e4821.jpg,Is the phone case glossy?,Yes,Yes,True,0.5,1,1,0.99999988079071,0.99999988079071,0.99999988079071,-1.25064194202423,1
07/07b2baa1.jpg,What color is the bag?,Black,black,True,0.5,1,1,0.999658465385437,0.999658465385437,0.999658465385437,-3.81624293327332,1
f2/f21f5a6c.jpg,What is the towel's texture?,Terry,soft,False,0,0,0,0.999261140823364,0.999261140823364,0.999261140823364,-6.73496437072754,0
e6/e6b5ce66.jpg,What shape is the container?,Cylinder,,False,0,0,0,0,0,0,0,0
24/249c8e37.jpg,How many metal rings are visible?,Two,3,False,0,0,0,0.999351680278778,0.999351680278778,0.999351680278778,-6.89597845077515,0
7b/7b6c396e.jpg,What color is the dog's tongue?,Pink,yorkie,False,0,0,0,0.745036125183106,0.835622847080231,0.787733793258667,-7.01420736312866,0
dc/dcbb35c0.jpg,How many flowers are visible?,Three,,False,0,0,0,0,0,0,0,0
96/967c74bd.jpg,What shape is the device?,Rectangle,,False,0,0,0,0,0,0,0,0
63/635e3305.jpg,How many tiers are shown?,Three,3,False,0.5,0,0,0.998932898044586,0.998932898044586,0.998932898044586,-4.84110450744629,0
bb/bb542685.jpg,What object is depicted?,Trees,sun,False,0,0,0,0.998534202575684,0.998534202575684,0.998534202575684,-7.10038280487061,0
72/726deb61.jpg,What color is the background?,Black,black,True,0.5,1,1,0.999658465385437,0.999658465385437,0.999658465385437,-3.81624293327332,1
da/da9ff1fb.jpg,Are there laces?,Yes,yes,True,0.5,1,1,0.995963573455811,0.995963573455811,0.995963573455811,-2.74147868156433,1
4c/4c27aee6.jpg,How many orange highlighters are shown?,Two,4,False,0,0,0,0.998873591423035,0.998873591423035,0.998873591423035,-6.68095254898071,0
9a/9a20fc7a.jpg,Is this phone rectangular?,Yes,yes,True,0.5,1,1,0.995963573455811,0.995963573455811,0.995963573455811,-2.74147868156433,1
