image_path,question,answer,prediction,correct,meteor,f1,accuracy,bertscore_precision,bertscore_recall,bertscore_f1,partscore,rouge_1_f1
ba/baf0ce35.jpg,What color are the leaves?,green,phone,False,0,0,0,0.9605081081390381,0.9605081081390381,0.9605081081390381,0,0.0
16/16e97fb3.jpg,What color is the lock?,black,bedroom,False,0,0,0,0.9991101026535034,0.9991101026535034,0.9991101026535034,0,0.0
09/09813ae7.jpg,What color is the sheet?,white,bed,False,0,0,0,0.997378408908844,0.997378408908844,0.997378408908844,0,0.0
7d/7da655a1.jpg,What color is the frame?,black,morning,False,0,0,0,0.9993659257888794,0.9993659257888794,0.9993659257888794,0,0.0
c7/c7753925.jpg,What shape is the object?,rectangular,phone,False,0,0,0,0.998609185218811,0.998609185218811,0.998609185218811,0,0.0
22/225b2470.jpg,What is the shoe's color?,green,green,True,0.5,1,1,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.1778279410038923,1.0
28/28598e58.jpg,What color are the towels?,white,grey,False,0,0,0,0.9853904247283936,0.9853904247283936,0.9853904247283936,0,0.0
41/416c1529.jpg,What color is the background?,black,phone,False,0,0,0,0.9985499978065491,0.9985499978065491,0.9985499978065491,0,0.0
77/776fc823.jpg,What is the shoe's material?,canvas,orange,False,0,0,0,0.998437762260437,0.998437762260437,0.998437762260437,0,0.0
7f/7f211ae1.jpg,How many eyelets visible?,five,grey,False,0,0,0,0.9848318099975586,0.9848318099975586,0.9848318099975586,0,0.0
07/071e916a.jpg,What shape is the cushion?,square,bed,False,0,0,0,0.9989526271820068,0.9989526271820068,0.9989526271820068,0,0.0
b3/b3816af7.jpg,Is sky visible?,yes,phone,False,0,0,0,0.9947110414505005,0.9947110414505005,0.9947110414505005,0,0.0
39/39aa2ac8.jpg,What color is predominant?,gray,phone,False,0,0,0,0.9938507676124573,0.9938507676124573,0.9938507676124573,0,0.0
01/018e4821.jpg,Is the phone case glossy?,yes,heart,False,0,0,0,0.9947046637535095,0.9947046637535095,0.9947046637535095,0,0.0
07/07b2baa1.jpg,What color is the bag?,black,black,True,0.5,1,1,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.1778279410038923,1.0
f2/f21f5a6c.jpg,What is the towel's texture?,terry,blue,False,0,0,0,0.931548535823822,0.8242716789245605,0.8746328949928284,0,0.0
e6/e6b5ce66.jpg,What shape is the container?,cylinder,glass,False,0,0,0,0.9987527132034302,0.9987527132034302,0.9987527132034302,0,0.0
24/249c8e37.jpg,How many metal rings are visible?,two,red,False,0,0,0,0.9975506067276001,0.9975506067276001,0.9975506067276001,0,0.0
7b/7b6c396e.jpg,What color is the dog's tongue?,pink,phone,False,0,0,0,0.9969987273216248,0.9969987273216248,0.9969987273216248,0,0.0
dc/dcbb35c0.jpg,How many flowers are visible?,three,phone,False,0,0,0,0.9985573887825012,0.9985573887825012,0.9985573887825012,0,0.0
96/967c74bd.jpg,What shape is the device?,rectangle,black,False,0,0,0,0.998741090297699,0.998741090297699,0.998741090297699,0,0.0
63/635e3305.jpg,How many tiers are shown?,three,bed,False,0,0,0,0.9980751276016235,0.9980751276016235,0.9980751276016235,0,0.0
bb/bb542685.jpg,What object is depicted?,trees,orange,False,0,0,0,0.9992805123329163,0.9992805123329163,0.9992805123329163,0,0.0
72/726deb61.jpg,What color is the background?,black,phone,False,0,0,0,0.9985499978065491,0.9985499978065491,0.9985499978065491,0,0.0
da/da9ff1fb.jpg,Are there laces?,yes,square,False,0,0,0,0.9947069883346558,0.9947069883346558,0.9947069883346558,0,0.0
4c/4c27aee6.jpg,How many orange highlighters are shown?,two,new,False,0,0,0,0.9994586706161499,0.9994586706161499,0.9994586706161499,0,0.0
9a/9a20fc7a.jpg,Is this phone rectangular?,yes,diamond,False,0,0,0,0.9924980401992798,0.9924980401992798,0.9924980401992798,0,0.0
79/7901eb49.jpg,What is the knob's color?,golden,table,False,0,0,0,0.9985986351966858,0.9985986351966858,0.9985986351966858,0,0.0
a2/a25b2dd9.jpg,What color is the cabinet?,pine,wood,False,0,0,0,0.9994531273841858,0.9994531273841858,0.9994531273841858,0,0.0
f7/f7388174.jpg,What is the shoe's toe type?,pointed,woman,False,0,0,0,0.9981961250305176,0.9981961250305176,0.9981961250305176,0,0.0
30/30b9863a.jpg,What color is the wagon?,red,red,True,0.5,1,1,1.000000238418579,1.000000238418579,1.000000238418579,0.1778279410038923,1.0
47/47e29a39.jpg,What color are the shoes?,black,black,True,0.5,1,1,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.1778279410038923,1.0
b5/b51fc873.jpg,What fills the left basket?,toys,bed,False,0,0,0,0.9984741806983948,0.9984741806983948,0.9984741806983948,0,0.0
6d/6d7fb2a5.jpg,What color is the phone's bezel?,black,computer,False,0,0,0,0.999269425868988,0.999269425868988,0.999269425868988,0,0.0
